ReadID	maxG1	maxG2	genome	chr_G1	pos_G1	chrG2	posG2	group
SRR6485325.46201	0	0	undetermined	H1_chr5	1488591	H2_chr5	10874099	PEES
SRR6485325.68930	0	0	undetermined	H1_chr5	1488690	H2_chr5	5201905	ES
SRR6485325.223748	-4	none	H1_	H1_chr5	1553313	none	0	UGM
SRR6485325.207560	-5	-5	undetermined	H1_chr5	1599136	H2_chr5	1504212	PEES
SRR6485325.154814	-20	-20	undetermined	H1_chr5	1634390	H2_chr5	1541091	PEES
SRR6485325.204147	-15	none	H1_	H1_chr5	1680582	none	0	UGM
SRR6485325.241539	-30	none	H1_	H1_chr5	1706877	none	0	UGM
SRR6485325.199821	-20	none	H1_	H1_chr5	1822349	none	0	UGM
SRR6485325.86534	-8	-8	undetermined	H1_chr5	1961943	H2_chr5	1858377	PEES
SRR6485325.113936	-5	-5	undetermined	H1_chr5	1962986	H2_chr5	1859420	PEES
SRR6485325.162988	-17	none	H1_	H1_chr5	1972822	none	0	UGM
SRR6485325.216466	-26	none	H1_	H1_chr5	2007954	none	0	UGM
SRR6485325.238719	-9	-9	undetermined	H1_chr5	2168534	H2_chr5	2067317	PEES
SRR6485325.71226	0	none	H1_	H1_chr5	2208761	none	0	UGM
SRR6485325.185843	0	none	H1_	H1_chr5	2285408	none	0	UGM
SRR6485325.202199	0	none	H1_	H1_chr5	2291048	none	0	UGM
SRR6485325.199992	0	0	undetermined	H1_chr5	2400296	H2_chr5	2295308	PEES
SRR6485325.110688	-15	-15	undetermined	H1_chr5	2448887	H2_chr5	2344013	PEES
SRR6485325.25304	-15	none	H1_	H1_chr5	2468378	none	0	UGM
SRR6485325.35315	-6	none	H1_	H1_chr5	2469613	none	0	UGM
SRR6485325.66787	-5	-5	undetermined	H1_chr5	2494927	H2_chr5	2392601	PEES
SRR6485325.162603	-13	-13	undetermined	H1_chr5	2552274	H2_chr5	2449745	PEES
SRR6485325.12711	-15	-15	undetermined	H1_chr5	2567438	H2_chr5	2464796	PEES
SRR6485325.206441	0	0	undetermined	H1_chr5	2591431	H2_chr5	2488831	PEES
SRR6485325.39048	-16	none	H1_	H1_chr5	2715578	none	0	UGM
SRR6485325.151096	-28	none	H1_	H1_chr5	2751554	none	0	UGM
SRR6485325.146800	0	none	H1_	H1_chr5	2764852	none	0	UGM
SRR6485325.91041	-25	-25	undetermined	H1_chr5	2885935	H2_chr5	2787286	PEES
SRR6485325.238515	0	none	H1_	H1_chr5	2933529	none	0	UGM
SRR6485325.64605	0	none	H1_	H1_chr5	2941443	none	0	UGM
SRR6485325.180999	0	0	undetermined	H1_chr5	2987043	H2_chr5	2888800	PEES
SRR6485325.129252	0	0	undetermined	H1_chr5	3034609	H2_chr5	2939534	PEES
SRR6485325.153717	0	0	undetermined	H1_chr5	3084700	H2_chr5	2989747	PEES
SRR6485325.38746	-10	-10	undetermined	H1_chr5	3108100	H2_chr5	3013885	ES
SRR6485325.224185	-3	none	H1_	H1_chr5	3141421	none	0	UGM
SRR6485325.20323	-7	-7	undetermined	H1_chr5	3156687	H2_chr5	3062188	PEES
SRR6485325.167109	-10	-10	undetermined	H1_chr5	3158685	H2_chr5	3064186	PEES
SRR6485325.120532	0	0	undetermined	H1_chr5	3170226	H2_chr5	24966993	ES
SRR6485325.37460	-5	none	H1_	H1_chr5	3183052	none	0	UGM
SRR6485325.108243	-10	none	H1_	H1_chr5	3251274	none	0	UGM
SRR6485325.96046	0	none	H1_	H1_chr5	3260997	none	0	UGM
SRR6485325.223696	0	0	undetermined	H1_chr5	3336225	H2_chr5	3117353	ES
SRR6485325.211508	0	0	undetermined	H1_chr5	3476670	H2_chr5	3376214	PEES
SRR6485325.180542	-5	none	H1_	H1_chr5	3511920	none	0	UGM
SRR6485325.143407	0	0	undetermined	H1_chr5	3577415	H2_chr5	3475015	PEES
SRR6485325.2320	-5	none	H1_	H1_chr5	3590503	none	0	UGM
SRR6485325.41558	-15	-15	undetermined	H1_chr5	3676319	H2_chr5	3574057	PEES
SRR6485325.20883	0	0	undetermined	H1_chr5	3693001	H2_chr5	3591709	PEES
SRR6485325.12557	-10	-10	undetermined	H1_chr5	3717656	H2_chr5	3616310	PEES
SRR6485325.95291	0	0	undetermined	H1_chr5	3745671	H2_chr5	3644285	PEES
SRR6485325.225073	-5	-5	undetermined	H1_chr5	3797063	H2_chr5	3700216	PEES
SRR6485325.145329	-5	none	H1_	H1_chr5	3860941	none	0	UGM
SRR6485325.237932	0	0	undetermined	H1_chr5	3906603	H2_chr5	3819880	PEES
SRR6485325.165948	-7	none	H1_	H1_chr5	3939539	none	0	UGM
SRR6485325.138942	0	0	undetermined	H1_chr5	3998731	H2_chr5	3913143	PEES
SRR6485325.141232	-5	none	H1_	H1_chr5	4004254	none	0	UGM
SRR6485325.92428	-5	-5	undetermined	H1_chr5	4009047	H2_chr5	3924073	PEES
SRR6485325.17050	0	0	undetermined	H1_chr5	4010206	H2_chr5	3925230	PEES
SRR6485325.246196	-10	-10	undetermined	H1_chr5	4065674	H2_chr5	3980901	PEES
SRR6485325.46944	-10	-10	undetermined	H1_chr5	4069534	H2_chr5	3984749	PEES
SRR6485325.249540	-5	-5	undetermined	H1_chr5	4092292	H2_chr5	4007877	PEES
SRR6485325.204999	0	none	H1_	H1_chr5	4161082	none	0	UGM
SRR6485325.92180	-25	none	H1_	H1_chr5	4245165	none	0	UGM
SRR6485325.177859	0	none	H1_	H1_chr5	4304454	none	0	UGM
SRR6485325.36616	-25	none	H1_	H1_chr5	4510342	none	0	UGM
SRR6485325.249562	-5	none	H1_	H1_chr5	4512042	none	0	UGM
SRR6485325.129074	-8	none	H1_	H1_chr5	4601814	none	0	UGM
SRR6485325.134386	-23	-23	undetermined	H1_chr5	4725825	H2_chr5	4635928	PEES
SRR6485325.177122	-27	-27	undetermined	H1_chr5	4748670	H2_chr5	4658694	PEES
SRR6485325.210307	0	0	undetermined	H1_chr5	4845282	H2_chr5	4753172	PEES
SRR6485325.45055	0	0	undetermined	H1_chr5	4847138	H2_chr5	4755029	PEES
SRR6485325.35093	0	0	undetermined	H1_chr5	4847942	H2_chr5	4755833	PEES
SRR6485325.160080	-5	-5	undetermined	H1_chr5	4848462	H2_chr5	4756353	PEES
SRR6485325.231093	-5	none	H1_	H1_chr5	4903114	none	0	UGM
SRR6485325.118672	-14	-14	undetermined	H1_chr5	4930551	H2_chr5	4840025	PEES
SRR6485325.72345	-5	-5	undetermined	H1_chr5	4931667	H2_chr5	4841142	ES
SRR6485325.108201	0	0	undetermined	H1_chr5	5130711	H2_chr5	5041564	PEES
SRR6485325.119286	0	0	undetermined	H1_chr5	5132998	H2_chr5	5043852	PEES
SRR6485325.60602	0	none	H1_	H1_chr5	5151580	none	0	UGM
SRR6485325.166190	0	0	undetermined	H1_chr5	5320230	H2_chr5	5231748	PEES
SRR6485325.115282	-28	-28	undetermined	H1_chr5	5342819	H2_chr5	5254316	PEES
SRR6485325.188908	-20	-20	undetermined	H1_chr5	5345572	H2_chr5	5257064	PEES
SRR6485325.22040	0	0	undetermined	H1_chr5	5403820	H2_chr5	5314739	ES
SRR6485325.147278	-5	-5	undetermined	H1_chr5	5405821	H2_chr5	5316740	PEES
SRR6485325.123352	0	0	undetermined	H1_chr5	5421579	H2_chr5	5332507	PEES
SRR6485325.1898	0	none	H1_	H1_chr5	5459755	none	0	UGM
SRR6485325.67013	0	none	H1_	H1_chr5	5461038	none	0	UGM
SRR6485325.66002	-5	-5	undetermined	H1_chr5	5497385	H2_chr5	36124668	PEES
SRR6485325.166715	0	0	undetermined	H1_chr5	5497707	H2_chr5	32037755	PEES
SRR6485325.152910	0	0	undetermined	H1_chr5	5497711	H2_chr5	32037759	PEES
SRR6485325.144811	0	0	undetermined	H1_chr5	5497727	H2_chr5	34225466	PEES
SRR6485325.174582	0	0	undetermined	H1_chr5	5497763	H2_chr5	6431670	PEES
SRR6485325.76147	0	0	undetermined	H1_chr5	5497787	H2_chr5	5721946	PEES
SRR6485325.21073	0	0	undetermined	H1_chr5	5497792	H2_chr5	5721941	PEES
SRR6485325.114949	0	0	undetermined	H1_chr5	5497818	H2_chr5	5721915	PEES
SRR6485325.142468	0	0	undetermined	H1_chr5	5497854	H2_chr5	5721879	PEES
SRR6485325.125255	0	0	undetermined	H1_chr5	5497868	H2_chr5	5721865	PEES
SRR6485325.32343	0	0	undetermined	H1_chr5	5497874	H2_chr5	5721859	PEES
SRR6485325.217523	0	0	undetermined	H1_chr5	5497939	H2_chr5	5721794	PEES
SRR6485325.25319	0	0	undetermined	H1_chr5	5497962	H2_chr5	5721771	PEES
SRR6485325.193289	-5	none	H1_	H1_chr5	5497963	none	0	UGM
SRR6485325.181261	-3	-3	undetermined	H1_chr5	5497973	H2_chr5	5721760	PEES
SRR6485325.1031	0	0	undetermined	H1_chr5	5497976	H2_chr5	5721757	PEES
SRR6485325.162854	0	0	undetermined	H1_chr5	5497987	H2_chr5	5721746	PEES
SRR6485325.133002	0	none	H1_	H1_chr5	5498023	none	0	UGM
SRR6485325.129284	-5	-5	undetermined	H1_chr5	5498848	H2_chr5	6432759	PEES
SRR6485325.106833	0	0	undetermined	H1_chr5	5498884	H2_chr5	5720843	PEES
SRR6485325.140132	0	0	undetermined	H1_chr5	5499104	H2_chr5	5720623	PEES
SRR6485325.81414	-5	-5	undetermined	H1_chr5	5499117	H2_chr5	5720610	PEES
SRR6485325.158410	0	0	undetermined	H1_chr5	5499135	H2_chr5	31287169	PEES
SRR6485325.34812	0	0	undetermined	H1_chr5	5499146	H2_chr5	36122902	PEES
SRR6485325.11194	0	none	H1_	H1_chr5	5501529	none	0	UGM
SRR6485325.163730	0	0	undetermined	H1_chr5	5518107	H2_chr5	5422001	ES
SRR6485325.226179	0	0	undetermined	H1_chr5	5520251	H2_chr5	99107956	PEES
SRR6485325.134171	0	none	H1_	H1_chr5	5528566	none	0	UGM
SRR6485325.55165	0	none	H1_	H1_chr5	5529021	none	0	UGM
SRR6485325.54688	-14	-14	undetermined	H1_chr5	5545888	H2_chr5	5449382	PEES
SRR6485325.242956	-5	none	H1_	H1_chr5	5549401	none	0	UGM
SRR6485325.175364	-20	-20	undetermined	H1_chr5	5564415	H2_chr5	5467944	PEES
SRR6485325.103463	-10	-10	undetermined	H1_chr5	5574277	H2_chr5	5477808	PEES
SRR6485325.231457	-7	-7	undetermined	H1_chr5	5578741	H2_chr5	5482274	PEES
SRR6485325.234103	-15	-15	undetermined	H1_chr5	5579276	H2_chr5	5482809	PEES
SRR6485325.184654	-12	-12	undetermined	H1_chr5	5579508	H2_chr5	5483041	PEES
SRR6485325.237769	-8	-8	undetermined	H1_chr5	5604954	H2_chr5	5508504	PEES
SRR6485325.55404	0	0	undetermined	H1_chr5	5626500	H2_chr5	5531027	PEES
SRR6485325.83451	-5	-5	undetermined	H1_chr5	5641666	H2_chr5	5546210	PEES
SRR6485325.233620	0	none	H1_	H1_chr5	5650355	none	0	UGM
SRR6485325.232368	0	0	undetermined	H1_chr5	5685446	H2_chr5	5590037	PEES
SRR6485325.194688	-5	none	H1_	H1_chr5	5741340	none	0	UGM
SRR6485325.142765	-15	none	H1_	H1_chr5	5744906	none	0	UGM
SRR6485325.91225	-13	-13	undetermined	H1_chr5	5785289	H2_chr5	5690836	PEES
SRR6485325.8257	-7	-7	undetermined	H1_chr5	5806396	H2_chr5	91964889	PEES
SRR6485325.93265	0	0	undetermined	H1_chr5	5807127	H2_chr5	76279502	PEES
SRR6485325.138052	0	0	undetermined	H1_chr5	5807375	H2_chr5	31714463	ES
SRR6485325.122426	0	0	undetermined	H1_chr5	5808221	H2_chr5	77331177	PEES
SRR6485325.182174	0	none	H1_	H1_chr5	5808265	none	0	UGM
SRR6485325.158372	-5	none	H1_	H1_chr5	5812042	none	0	UGM
SRR6485325.223464	-1	-1	undetermined	H1_chr5	5846013	H2_chr5	8704365	PEES
SRR6485325.36120	0	0	undetermined	H1_chr5	5846054	H2_chr5	5700155	ES
SRR6485325.122792	0	0	undetermined	H1_chr5	5846061	H2_chr5	31066950	PEES
SRR6485325.157360	-3	-3	undetermined	H1_chr5	5846073	H2_chr5	5700174	PEES
SRR6485325.35845	0	0	undetermined	H1_chr5	5846075	H2_chr5	31066964	PEES
SRR6485325.14747	0	0	undetermined	H1_chr5	5846115	H2_chr5	8704262	PEES
SRR6485325.112139	0	0	undetermined	H1_chr5	5846125	H2_chr5	17662317	PEES
SRR6485325.146764	0	0	undetermined	H1_chr5	5846162	H2_chr5	5836034	PEES
SRR6485325.66159	0	0	undetermined	H1_chr5	5846165	H2_chr5	8704212	PEES
SRR6485325.193941	0	0	undetermined	H1_chr5	5846183	H2_chr5	31067072	PEES
SRR6485325.80329	0	0	undetermined	H1_chr5	5846196	H2_chr5	33270872	PEES
SRR6485325.7971	0	0	undetermined	H1_chr5	5846199	H2_chr5	5836071	PEES
SRR6485325.46337	0	0	undetermined	H1_chr5	5846226	H2_chr5	31067115	PEES
SRR6485325.84159	0	0	undetermined	H1_chr5	5846231	H2_chr5	5836103	PEES
SRR6485325.158261	-5	-5	undetermined	H1_chr5	5846279	H2_chr5	5700380	PEES
SRR6485325.75630	0	0	undetermined	H1_chr5	5846288	H2_chr5	30824040	PEES
SRR6485325.208763	0	0	undetermined	H1_chr5	5846307	H2_chr5	5836179	PEES
SRR6485325.42926	-5	-5	undetermined	H1_chr5	5853079	H2_chr5	5764270	PEES
SRR6485325.142583	0	0	undetermined	H1_chr5	5854294	H2_chr5	5765485	PEES
SRR6485325.237461	0	none	H1_	H1_chr5	5859201	none	0	UGM
SRR6485325.46248	-5	-5	undetermined	H1_chr5	5876591	H2_chr5	5787765	PEES
SRR6485325.169877	-3	-3	undetermined	H1_chr5	5914381	H2_chr5	5825530	ES
SRR6485325.176862	-5	-5	undetermined	H1_chr5	5930599	H2_chr5	5842524	PEES
SRR6485325.116535	0	0	undetermined	H1_chr5	5965872	H2_chr5	5877802	PEES
SRR6485325.84725	0	0	undetermined	H1_chr5	6024796	H2_chr5	6557887	PEES
SRR6485325.120250	0	0	undetermined	H1_chr5	6024813	H2_chr5	6557870	PEES
SRR6485325.140807	0	0	undetermined	H1_chr5	6024844	H2_chr5	6557839	PEES
SRR6485325.196224	0	0	undetermined	H1_chr5	6024882	H2_chr5	6557801	PEES
SRR6485325.47538	0	0	undetermined	H1_chr5	6024888	H2_chr5	6557795	PEES
SRR6485325.104493	0	0	undetermined	H1_chr5	6024913	H2_chr5	6557770	PEES
SRR6485325.93400	-5	-5	undetermined	H1_chr5	6024914	H2_chr5	6557769	PEES
SRR6485325.131612	0	0	undetermined	H1_chr5	6024956	H2_chr5	6557727	PEES
SRR6485325.87165	0	0	undetermined	H1_chr5	6024978	H2_chr5	6557705	ES
SRR6485325.113544	0	0	undetermined	H1_chr5	6024980	H2_chr5	6557703	PEES
SRR6485325.34532	0	0	undetermined	H1_chr5	6024996	H2_chr5	6557687	PEES
SRR6485325.136262	0	0	undetermined	H1_chr5	6024998	H2_chr5	6557685	PEES
SRR6485325.187942	0	0	undetermined	H1_chr5	6025003	H2_chr5	6557680	PEES
SRR6485325.214903	0	0	undetermined	H1_chr5	6025016	H2_chr5	6557667	PEES
SRR6485325.165665	0	0	undetermined	H1_chr5	6025020	H2_chr5	6557663	PEES
SRR6485325.79476	0	0	undetermined	H1_chr5	6025055	H2_chr5	6557628	ES
SRR6485325.191942	0	0	undetermined	H1_chr5	6025059	H2_chr5	5717486	ES
SRR6485325.59443	-5	-5	undetermined	H1_chr5	6025063	H2_chr5	5717482	PEES
SRR6485325.208425	0	0	undetermined	H1_chr5	6025063	H2_chr5	5717482	PEES
SRR6485325.36892	0	0	undetermined	H1_chr5	6025066	H2_chr5	6557617	PEES
SRR6485325.241370	0	0	undetermined	H1_chr5	6025073	H2_chr5	5717472	PEES
SRR6485325.82061	0	0	undetermined	H1_chr5	6025214	H2_chr5	6557469	PEES
SRR6485325.2738	0	0	undetermined	H1_chr5	6025217	H2_chr5	5717328	PEES
SRR6485325.22945	0	0	undetermined	H1_chr5	6025241	H2_chr5	6557442	PEES
SRR6485325.53602	0	0	undetermined	H1_chr5	6025306	H2_chr5	6557377	PEES
SRR6485325.173065	0	0	undetermined	H1_chr5	6025324	H2_chr5	5717221	ES
SRR6485325.122677	0	0	undetermined	H1_chr5	6025364	H2_chr5	6557319	PEES
SRR6485325.168758	-1	-1	undetermined	H1_chr5	6025398	H2_chr5	6557285	PEES
SRR6485325.234139	0	0	undetermined	H1_chr5	6025402	H2_chr5	6557281	PEES
SRR6485325.57710	0	0	undetermined	H1_chr5	6025403	H2_chr5	6557280	PEES
SRR6485325.226507	0	0	undetermined	H1_chr5	6025421	H2_chr5	6557262	PEES
SRR6485325.197412	0	0	undetermined	H1_chr5	6025431	H2_chr5	6557252	PEES
SRR6485325.211520	0	0	undetermined	H1_chr5	6025482	H2_chr5	15270150	PEES
SRR6485325.91315	0	0	undetermined	H1_chr5	6025484	H2_chr5	15270152	PEES
SRR6485325.202667	0	0	undetermined	H1_chr5	6025485	H2_chr5	15270153	PEES
SRR6485325.241818	0	0	undetermined	H1_chr5	6025485	H2_chr5	15270153	PEES
SRR6485325.174719	0	0	undetermined	H1_chr5	6025628	H2_chr5	6557055	PEES
SRR6485325.195500	0	0	undetermined	H1_chr5	6025636	H2_chr5	5700759	ES
SRR6485325.188463	0	none	H1_	H1_chr5	6025668	none	0	UGM
SRR6485325.49660	0	0	undetermined	H1_chr5	6025702	H2_chr5	15270370	PEES
SRR6485325.98388	0	0	undetermined	H1_chr5	6025705	H2_chr5	5700690	PEES
SRR6485325.88783	0	0	undetermined	H1_chr5	6025721	H2_chr5	15270389	PEES
SRR6485325.185657	0	0	undetermined	H1_chr5	6025733	H2_chr5	5700662	ES
SRR6485325.88555	0	0	undetermined	H1_chr5	6025780	H2_chr5	5700615	PEES
SRR6485325.28200	0	0	undetermined	H1_chr5	6025956	H2_chr5	5700439	PEES
SRR6485325.37887	0	0	undetermined	H1_chr5	6025956	H2_chr5	5700439	PEES
SRR6485325.21390	0	0	undetermined	H1_chr5	6025978	H2_chr5	5700417	ES
SRR6485325.183520	0	0	undetermined	H1_chr5	6025998	H2_chr5	5700397	PEES
SRR6485325.68727	0	0	undetermined	H1_chr5	6026045	H2_chr5	5700350	PEES
SRR6485325.76898	0	0	undetermined	H1_chr5	6026070	H2_chr5	5836096	PEES
SRR6485325.111085	0	0	undetermined	H1_chr5	6049259	H2_chr5	5959312	PEES
SRR6485325.234799	0	0	undetermined	H1_chr5	6061690	H2_chr5	5971732	PEES
SRR6485325.33430	0	0	undetermined	H1_chr5	6063675	H2_chr5	5973718	PEES
SRR6485325.148152	0	0	undetermined	H1_chr5	6077148	H2_chr5	5987193	PEES
SRR6485325.128619	0	0	undetermined	H1_chr5	6096823	H2_chr5	6006871	PEES
SRR6485325.156249	-5	-5	undetermined	H1_chr5	6104481	H2_chr5	6014522	PEES
SRR6485325.43130	0	0	undetermined	H1_chr5	6106981	H2_chr5	6017027	PEES
SRR6485325.179668	0	0	undetermined	H1_chr5	6135916	H2_chr5	6045964	PEES
SRR6485325.186908	0	0	undetermined	H1_chr5	6164636	H2_chr5	15270049	PEES
SRR6485325.101861	0	0	undetermined	H1_chr5	6164641	H2_chr5	15270054	PEES
SRR6485325.155294	0	0	undetermined	H1_chr5	6164775	H2_chr5	6878748	PEES
SRR6485325.167515	0	0	undetermined	H1_chr5	6164981	H2_chr5	5700669	PEES
SRR6485325.9812	0	0	undetermined	H1_chr5	6165062	H2_chr5	5700588	PEES
SRR6485325.172611	0	0	undetermined	H1_chr5	6165068	H2_chr5	8703896	PEES
SRR6485325.72692	0	0	undetermined	H1_chr5	6165075	H2_chr5	5836346	PEES
SRR6485325.122905	0	0	undetermined	H1_chr5	6165093	H2_chr5	5836328	PEES
SRR6485325.219477	0	0	undetermined	H1_chr5	6165098	H2_chr5	5700552	PEES
SRR6485325.7944	0	0	undetermined	H1_chr5	6165106	H2_chr5	5836315	PEES
SRR6485325.152072	0	0	undetermined	H1_chr5	6165133	H2_chr5	5700517	PEES
SRR6485325.170833	0	0	undetermined	H1_chr5	6165133	H2_chr5	5700517	PEES
SRR6485325.122692	-5	-5	undetermined	H1_chr5	6165135	H2_chr5	5700515	PEES
SRR6485325.209228	0	0	undetermined	H1_chr5	6165138	H2_chr5	6556800	PEES
SRR6485325.239766	0	0	undetermined	H1_chr5	6165157	H2_chr5	5836264	PEES
SRR6485325.95538	0	0	undetermined	H1_chr5	6165163	H2_chr5	5836258	PEES
SRR6485325.134583	0	0	undetermined	H1_chr5	6165165	H2_chr5	5836256	PEES
SRR6485325.87673	0	0	undetermined	H1_chr5	6165166	H2_chr5	5700484	PEES
SRR6485325.122913	-5	-5	undetermined	H1_chr5	6165166	H2_chr5	8703994	PEES
SRR6485325.78524	0	0	undetermined	H1_chr5	6165169	H2_chr5	5700481	PEES
SRR6485325.174575	0	0	undetermined	H1_chr5	6165181	H2_chr5	5700469	PEES
SRR6485325.14588	0	0	undetermined	H1_chr5	6165182	H2_chr5	5836239	PEES
SRR6485325.191223	0	0	undetermined	H1_chr5	6165183	H2_chr5	5700467	PEES
SRR6485325.221358	0	0	undetermined	H1_chr5	6165190	H2_chr5	5700460	PEES
SRR6485325.138839	0	0	undetermined	H1_chr5	6165201	H2_chr5	5836220	PEES
SRR6485325.38549	0	0	undetermined	H1_chr5	6165206	H2_chr5	5836215	PEES
SRR6485325.193677	0	0	undetermined	H1_chr5	6165226	H2_chr5	5836195	PEES
SRR6485325.78936	0	0	undetermined	H1_chr5	6165228	H2_chr5	5836193	PEES
SRR6485325.205855	0	0	undetermined	H1_chr5	6165234	H2_chr5	5700416	PEES
SRR6485325.182787	0	0	undetermined	H1_chr5	6165249	H2_chr5	5700401	PEES
SRR6485325.156598	0	0	undetermined	H1_chr5	6165310	H2_chr5	5700340	PEES
SRR6485325.250330	0	0	undetermined	H1_chr5	6165335	H2_chr5	5836086	PEES
SRR6485325.94178	0	0	undetermined	H1_chr5	6165351	H2_chr5	5836070	PEES
SRR6485325.18125	0	0	undetermined	H1_chr5	6165375	H2_chr5	5836046	PEES
SRR6485325.235230	0	0	undetermined	H1_chr5	6165401	H2_chr5	5836020	PEES
SRR6485325.19363	0	0	undetermined	H1_chr5	6165438	H2_chr5	8704266	PEES
SRR6485325.138960	-1	-1	undetermined	H1_chr5	6165458	H2_chr5	6556480	PEES
SRR6485325.163905	0	0	undetermined	H1_chr5	6165478	H2_chr5	5700172	PEES
SRR6485325.39735	0	0	undetermined	H1_chr5	6165530	H2_chr5	5700120	PEES
SRR6485325.126667	0	0	undetermined	H1_chr5	6165572	H2_chr5	6556366	PEES
SRR6485325.74105	0	0	undetermined	H1_chr5	6175788	H2_chr5	6084609	PEES
SRR6485325.57371	0	0	undetermined	H1_chr5	6195039	H2_chr5	6100335	PEES
SRR6485325.56828	0	0	undetermined	H1_chr5	6204658	H2_chr5	15270120	PEES
SRR6485325.135567	0	0	undetermined	H1_chr5	6204781	H2_chr5	15270243	PEES
SRR6485325.15297	0	0	undetermined	H1_chr5	6204782	H2_chr5	6557107	PEES
SRR6485325.102845	0	0	undetermined	H1_chr5	6204852	H2_chr5	5700749	PEES
SRR6485325.130002	0	0	undetermined	H1_chr5	6204860	H2_chr5	15270322	PEES
SRR6485325.45842	0	0	undetermined	H1_chr5	6204875	H2_chr5	15270337	PEES
SRR6485325.118639	0	0	undetermined	H1_chr5	6204933	H2_chr5	15270395	PEES
SRR6485325.89224	-8	-8	undetermined	H1_chr5	6204991	H2_chr5	30823819	PEES
SRR6485325.129256	0	0	undetermined	H1_chr5	6205036	H2_chr5	5700565	PEES
SRR6485325.82043	0	0	undetermined	H1_chr5	6205050	H2_chr5	5716701	PEES
SRR6485325.194222	0	0	undetermined	H1_chr5	6205360	H2_chr5	5836012	PEES
SRR6485325.208260	-3	-3	undetermined	H1_chr5	6205391	H2_chr5	5835981	PEES
SRR6485325.62748	0	0	undetermined	H1_chr5	6205455	H2_chr5	5835917	PEES
SRR6485325.214659	-14	-14	undetermined	H1_chr5	6207372	H2_chr5	6113201	PEES
SRR6485325.195085	-10	-10	undetermined	H1_chr5	6245044	H2_chr5	6151280	PEES
SRR6485325.191673	0	0	undetermined	H1_chr5	6269878	H2_chr5	15268416	ES
SRR6485325.82689	0	0	undetermined	H1_chr5	6269891	H2_chr5	15268403	PEES
SRR6485325.233570	0	0	undetermined	H1_chr5	6269951	H2_chr5	15268343	PEES
SRR6485325.112123	-10	-10	undetermined	H1_chr5	6269983	H2_chr5	15268311	PEES
SRR6485325.181736	-8	-8	undetermined	H1_chr5	6269995	H2_chr5	15268298	ES
SRR6485325.187593	0	0	undetermined	H1_chr5	6270012	H2_chr5	32040852	PEES
SRR6485325.218858	0	0	undetermined	H1_chr5	6270040	H2_chr5	31285533	PEES
SRR6485325.160747	-19	-19	undetermined	H1_chr5	6270070	H2_chr5	15268224	PEES
SRR6485325.144622	0	0	undetermined	H1_chr5	6270072	H2_chr5	15268228	PEES
SRR6485325.84043	0	0	undetermined	H1_chr5	6270073	H2_chr5	15268221	PEES
SRR6485325.155433	0	0	undetermined	H1_chr5	6270080	H2_chr5	32040784	PEES
SRR6485325.49050	0	0	undetermined	H1_chr5	6270101	H2_chr5	15268193	PEES
SRR6485325.185577	0	0	undetermined	H1_chr5	6270154	H2_chr5	15268140	PEES
SRR6485325.118186	0	0	undetermined	H1_chr5	6270177	H2_chr5	15268117	PEES
